name,time_up,price,year_product,style,status,origin,KM,local,box_car,fuel
Ford Ranger XLS 2021,17/11/2021,630000000,2021,Pick-up Truck,Mới,Nhập khẩu,0,Tp.HCM,Số tự động,Diesel
VinFast LUX A2.0  2021,17/11/2021,681000000,2021,Sedan,Mới,Trong nước,0,Bắc Giang,Số tự động,Xăng
Ford Ranger  2021,17/11/2021,650000000,2021,Pick-up Truck,Mới,Trong nước,0,Tp.HCM,Số tự động,Diesel
Ford EcoSport 1.5 Titanium 2020,17/11/2021,555000000,2020,SUV,Đã qua sử dụng,Trong nước,33000,Bình Thuận  ,Số tự động,Xăng
VinFast LUX A2.0  2021,17/11/2021,881000000,2021,Sedan,Mới,Trong nước,0,Vĩnh Phúc,Số tự động,Xăng
Mitsubishi Xpander  2021,17/11/2021,630000000,2021,MPV,Mới,Trong nước,0,Tp.HCM,Số tự động,Xăng
Hyundai Santa Fe  2021,17/11/2021,1030000000,2021,SUV,Mới,Trong nước,0,Hà Nội,Số tự động,Diesel
VinFast LUX A2.0  2021,17/11/2021,881000000,2021,Sedan,Mới,Trong nước,0,Vĩnh Phúc,Số tự động,Xăng
Toyota Vios E MT 2021,18/11/2021,478000000,2021,Sedan,Mới,Trong nước,0,Lào Cai,Số tay,Xăng
Mitsubishi Xpander AT 2021,18/11/2021,630000000,2021,MPV,Mới,Trong nước,0,Quảng Ninh,Số tự động,Xăng
Ford Ranger  XLS AT  2021,18/11/2021,650000000,2021,Pick-up Truck,Mới,Nhập khẩu,0,Vĩnh Phúc,Số tự động,Diesel
Ford Ranger  2021,18/11/2021,650000000,2021,Pick-up Truck,Mới,Nhập khẩu,0,Hải Dương,Số tự động,Diesel
Kia Morning 2017 2017,17/11/2021,300000000,2017,Van/Minivan,Đã qua sử dụng,Nhập khẩu,18000,Hà Nội,Số tự động,Xăng
Suzuki Carry 2021 2021,17/11/2021,280000000,2021,Truck,Mới,Trong nước,0,Hà Nội,Số tay,Xăng
Kia Soluto 2021 2021,17/11/2021,469000000,2021,Sedan,Mới,Trong nước,0,Bắc Giang,Số tự động,Xăng
Suzuki XL7 2021 2021,17/11/2021,535000000,2021,SUV,Mới,Nhập khẩu,0,Hà Nội,Số tự động,Xăng
